actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK07_CON36	TASK07_CON33	0	34	31	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON34	0	34	32	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON35	0	34	33	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON36	0	34	34	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON37	0	34	35	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON38	0	34	36	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON39	395	34	37	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON40	0	34	38	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON41	0	34	39	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON45	0	34	40	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON46	0	34	41	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON47	0	34	42	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON48	0	34	43	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON49	0	34	44	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON50	0	34	45	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON51	0	34	46	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON52	0	34	47	svi	spearman	posneg	5
TASK07_CON37	TASK01_CON07	0	35	1	svi	spearman	posneg	5
TASK07_CON37	TASK01_CON08	0	35	2	svi	spearman	posneg	5
TASK07_CON37	TASK01_CON09	0	35	3	svi	spearman	posneg	5
TASK07_CON37	TASK02_CON25	0	35	4	svi	spearman	posneg	5
TASK07_CON37	TASK02_CON26	0	35	5	svi	spearman	posneg	5
TASK07_CON37	TASK02_CON27	0	35	6	svi	spearman	posneg	5
TASK07_CON37	TASK03_CON19	0	35	7	svi	spearman	posneg	5
TASK07_CON37	TASK03_CON20	0	35	8	svi	spearman	posneg	5
TASK07_CON37	TASK03_CON22	0	35	9	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON61	0	35	10	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON62	0	35	11	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON63	0	35	12	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON64	0	35	13	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON65	0	35	14	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON66	0	35	15	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON67	0	35	16	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON68	0	35	17	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON69	0	35	18	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON70	0	35	19	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON71	0	35	20	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON72	0	35	21	svi	spearman	posneg	5
TASK07_CON37	TASK04_CON73	0	35	22	svi	spearman	posneg	5
TASK07_CON37	TASK05_CON13	151	35	23	svi	spearman	posneg	5
TASK07_CON37	TASK05_CON14	222	35	24	svi	spearman	posneg	5
TASK07_CON37	TASK05_CON15	0	35	25	svi	spearman	posneg	5
TASK07_CON37	TASK06_CON01	0	35	26	svi	spearman	posneg	5
TASK07_CON37	TASK06_CON02	0	35	27	svi	spearman	posneg	5
TASK07_CON37	TASK06_CON06	0	35	28	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON31	0	35	29	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON32	0	35	30	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON33	0	35	31	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON34	0	35	32	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON35	0	35	33	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON36	0	35	34	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON37	0	35	35	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON38	0	35	36	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON39	124	35	37	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON40	0	35	38	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON41	0	35	39	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON45	0	35	40	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON46	0	35	41	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON47	3	35	42	svi	spearman	posneg	5
TASK07_CON37	TASK07_CON48	0	35	43	svi	spearman	posneg	5
