actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK02_CON26	TASK07_CON38	14	5	36	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON39	5	5	37	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON40	2	5	38	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON41	0	5	39	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON45	10	5	40	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON46	14	5	41	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON47	1	5	42	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON48	7	5	43	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON49	0	5	44	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON50	12	5	45	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON51	16	5	46	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON52	0	5	47	cca	spearman	posneg	9
TASK02_CON27	TASK01_CON07	22	6	1	cca	spearman	posneg	9
TASK02_CON27	TASK01_CON08	19	6	2	cca	spearman	posneg	9
TASK02_CON27	TASK01_CON09	24	6	3	cca	spearman	posneg	9
TASK02_CON27	TASK02_CON25	21	6	4	cca	spearman	posneg	9
TASK02_CON27	TASK02_CON26	17	6	5	cca	spearman	posneg	9
TASK02_CON27	TASK02_CON27	0	6	6	cca	spearman	posneg	9
TASK02_CON27	TASK03_CON19	7	6	7	cca	spearman	posneg	9
TASK02_CON27	TASK03_CON20	3	6	8	cca	spearman	posneg	9
TASK02_CON27	TASK03_CON22	28	6	9	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON61	22	6	10	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON62	15	6	11	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON63	13	6	12	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON64	13	6	13	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON65	15	6	14	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON66	5	6	15	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON67	3	6	16	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON68	18	6	17	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON69	10	6	18	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON70	14	6	19	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON71	10	6	20	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON72	13	6	21	cca	spearman	posneg	9
TASK02_CON27	TASK04_CON73	3	6	22	cca	spearman	posneg	9
TASK02_CON27	TASK05_CON13	3	6	23	cca	spearman	posneg	9
TASK02_CON27	TASK05_CON14	1	6	24	cca	spearman	posneg	9
TASK02_CON27	TASK05_CON15	0	6	25	cca	spearman	posneg	9
TASK02_CON27	TASK06_CON01	17	6	26	cca	spearman	posneg	9
TASK02_CON27	TASK06_CON02	1	6	27	cca	spearman	posneg	9
TASK02_CON27	TASK06_CON06	0	6	28	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON31	17	6	29	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON32	16	6	30	cca	spearman	posneg	9
TASK02_CON27	TASK07_CON33	1	6	31	cca	spearman	posneg	9
